season,horizon,harvest_block_order,block_start_date,block_end_date,base_period_count,block_crush_tonnes,growing_season_total_rainfall,growing_season_average_temperature
21-22,2,5,2021-12-16,2022-02-01,2,190682,653.6833333333334,25.20817951713396
21-22,2,6,2022-02-16,2022-04-01,2,68753,653.6833333333334,25.20817951713396
22-23,2,1,2022-04-16,2022-06-01,2,59940628,974.61730529595,24.333469626168224
22-23,2,2,2022-06-16,2022-08-01,2,102938528,974.61730529595,24.333469626168224
22-23,2,3,2022-08-16,2022-10-01,2,84782260,974.61730529595,24.333469626168224
22-23,2,4,2022-10-16,2022-12-01,2,61417168,974.61730529595,24.333469626168224
22-23,2,5,2022-12-16,2023-02-01,2,3024763,974.61730529595,24.333469626168224
22-23,2,6,2023-02-16,2023-04-01,2,2405316,974.61730529595,24.333469626168224
23-24,2,1,2023-04-16,2023-06-01,2,74115266,1122.5314018691588,23.20907710280374
23-24,2,2,2023-06-16,2023-08-01,2,106678493,1122.5314018691588,23.20907710280374
23-24,2,3,2023-08-16,2023-10-01,2,107936827,1122.5314018691588,23.20907710280374
23-24,2,4,2023-10-16,2023-12-01,2,76626785,1122.5314018691588,23.20907710280374
23-24,2,5,2023-12-16,2024-02-01,2,17908649,1122.5314018691588,23.20907710280374
23-24,2,6,2024-02-16,2024-04-01,2,4336553,1122.5314018691588,23.20907710280374
24-25,2,1,2024-04-16,2024-06-01,2,84965531,777.5752959501558,26.58614875389408
24-25,2,2,2024-06-16,2024-08-01,2,112106187,777.5752959501558,26.58614875389408
24-25,2,3,2024-08-16,2024-10-01,2,97964082,777.5752959501558,26.58614875389408
24-25,2,4,2024-10-16,2024-12-01,2,55175227,777.5752959501558,26.58614875389408
24-25,2,5,2024-12-16,2025-02-01,2,4344693,777.5752959501558,26.58614875389408
24-25,2,6,2025-02-16,2025-04-01,2,2893723,777.5752959501558,26.58614875389408
25-26,2,1,2025-04-16,2025-06-01,2,70592036,797.5637694704051,25.507899143302183
25-26,2,2,2025-06-16,2025-08-01,2,102469629,797.5637694704051,25.507899143302183
25-26,2,3,2025-08-16,2025-10-01,2,106288776,797.5637694704051,25.507899143302183
25-26,2,4,2025-10-16,2025-12-01,2,57413297,797.5637694704051,25.507899143302183
25-26,2,5,2025-12-16,2026-02-01,2,4382742,797.5637694704051,25.507899143302183
25-26,2,6,2026-02-16,2026-04-01,2,3786585,797.5637694704051,25.507899143302183
