season,horizon,harvest_block_order,block_start_date,block_end_date,base_period_count,block_crush_tonnes,growing_season_total_rainfall,growing_season_average_temperature
10-11,2,1,2010-04-16,2010-06-01,2,87169803,1398.6541588785046,23.436109813084112
10-11,2,2,2010-06-16,2010-08-01,2,105120051,1398.6541588785046,23.436109813084112
10-11,2,3,2010-08-16,2010-10-01,2,92181609,1398.6541588785046,23.436109813084112
10-11,2,4,2010-10-16,2010-12-01,2,64439612,1398.6541588785046,23.436109813084112
10-11,2,5,2010-12-16,2011-02-01,2,5900761,1398.6541588785046,23.436109813084112
10-11,2,6,2011-02-16,2011-04-01,2,1071433,1398.6541588785046,23.436109813084112
11-12,2,1,2011-04-16,2011-06-01,2,62907022,1259.3033177570094,23.421491433021806
11-12,2,2,2011-06-16,2011-08-01,2,101910340,1259.3033177570094,23.421491433021806
11-12,2,3,2011-08-16,2011-10-01,2,95385836,1259.3033177570094,23.421491433021806
11-12,2,4,2011-10-16,2011-12-01,2,42568889,1259.3033177570094,23.421491433021806
11-12,2,5,2011-12-16,2012-02-01,2,702437,1259.3033177570094,23.421491433021806
11-12,2,6,2012-02-16,2012-04-01,2,151653,1259.3033177570094,23.421491433021806
12-13,2,1,2012-04-16,2012-06-01,2,40846050,915.5781152647976,23.60590537383177
12-13,2,2,2012-06-16,2012-08-01,2,87405353,915.5781152647976,23.60590537383177
12-13,2,3,2012-08-16,2012-10-01,2,101639344,915.5781152647976,23.60590537383177
12-13,2,4,2012-10-16,2012-12-01,2,84577770,915.5781152647976,23.60590537383177
12-13,2,5,2012-12-16,2013-02-01,2,15079671,915.5781152647976,23.60590537383177
12-13,2,6,2013-02-16,2013-04-01,2,1199523,915.5781152647976,23.60590537383177
13-14,2,1,2013-04-16,2013-06-01,2,73509982,1067.289875389408,23.89100661993769
13-14,2,2,2013-06-16,2013-08-01,2,92268119,1067.289875389408,23.89100661993769
13-14,2,3,2013-08-16,2013-10-01,2,104586130,1067.289875389408,23.89100661993769
13-14,2,4,2013-10-16,2013-12-01,2,79562185,1067.289875389408,23.89100661993769
13-14,2,5,2013-12-16,2014-02-01,2,16007040,1067.289875389408,23.89100661993769
13-14,2,6,2014-02-16,2014-04-01,2,2961786,1067.289875389408,23.89100661993769
14-15,2,1,2014-04-16,2014-06-01,2,71999100,795.7283489096573,24.289188084112148
14-15,2,2,2014-06-16,2014-08-01,2,101918850,795.7283489096573,24.289188084112148
14-15,2,3,2014-08-16,2014-10-01,2,94024778,795.7283489096573,24.289188084112148
14-15,2,4,2014-10-16,2014-12-01,2,61687546,795.7283489096573,24.289188084112148
14-15,2,5,2014-12-16,2015-02-01,2,5679876,795.7283489096573,24.289188084112148
14-15,2,6,2015-02-16,2015-04-01,2,1676877,795.7283489096573,24.289188084112148
15-16,2,1,2015-04-16,2015-06-01,2,63333390,963.035124610592,24.23226051401869
15-16,2,2,2015-06-16,2015-08-01,2,98535011,963.035124610592,24.23226051401869
15-16,2,3,2015-08-16,2015-10-01,2,96726711,963.035124610592,24.23226051401869
15-16,2,4,2015-10-16,2015-12-01,2,72475802,963.035124610592,24.23226051401869
15-16,2,5,2015-12-16,2016-02-01,2,23276068,963.035124610592,24.23226051401869
15-16,2,6,2016-02-16,2016-04-01,2,13975649,963.035124610592,24.23226051401869
16-17,2,1,2016-04-16,2016-06-01,2,87700200,1334.855046728972,24.29186331775701
16-17,2,2,2016-06-16,2016-08-01,2,99532104,1334.855046728972,24.29186331775701
16-17,2,3,2016-08-16,2016-10-01,2,98696246,1334.855046728972,24.29186331775701
16-17,2,4,2016-10-16,2016-12-01,2,65539306,1334.855046728972,24.29186331775701
16-17,2,5,2016-12-16,2017-02-01,2,7545722,1334.855046728972,24.29186331775701
16-17,2,6,2017-02-16,2017-04-01,2,6976061,1334.855046728972,24.29186331775701
17-18,2,1,2017-04-16,2017-06-01,2,67787946,996.163785046729,23.41456580996885
17-18,2,2,2017-06-16,2017-08-01,2,112231058,996.163785046729,23.41456580996885
17-18,2,3,2017-08-16,2017-10-01,2,101539226,996.163785046729,23.41456580996885
17-18,2,4,2017-10-16,2017-12-01,2,59811323,996.163785046729,23.41456580996885
17-18,2,5,2017-12-16,2018-02-01,2,8307401,996.163785046729,23.41456580996885
17-18,2,6,2018-02-16,2018-04-01,2,7465388,996.163785046729,23.41456580996885
18-19,2,1,2018-04-16,2018-06-01,2,83295321,1044.0715887850467,23.914363317757008
18-19,2,2,2018-06-16,2018-08-01,2,107222577,1044.0715887850467,23.914363317757008
18-19,2,3,2018-08-16,2018-10-01,2,83535966,1044.0715887850467,23.914363317757008
18-19,2,4,2018-10-16,2018-12-01,2,48342907,1044.0715887850467,23.914363317757008
18-19,2,5,2018-12-16,2019-02-01,2,7028239,1044.0715887850467,23.914363317757008
18-19,2,6,2019-02-16,2019-04-01,2,3913159,1044.0715887850467,23.914363317757008
19-20,2,1,2019-04-16,2019-06-01,2,75567291,1084.217274143302,24.25196261682243
19-20,2,2,2019-06-16,2019-08-01,2,104990542,1084.217274143302,24.25196261682243
19-20,2,3,2019-08-16,2019-10-01,2,96878905,1084.217274143302,24.25196261682243
19-20,2,4,2019-10-16,2019-12-01,2,59960982,1084.217274143302,24.25196261682243
19-20,2,5,2019-12-16,2020-02-01,2,1281100,1084.217274143302,24.25196261682243
19-20,2,6,2020-02-16,2020-04-01,2,4634695,1084.217274143302,24.25196261682243
20-21,2,1,2020-04-16,2020-06-01,2,90611341,937.9111370716512,24.463088006230528
20-21,2,2,2020-06-16,2020-08-01,2,107913209,937.9111370716512,24.463088006230528
20-21,2,3,2020-08-16,2020-10-01,2,102535263,937.9111370716512,24.463088006230528
20-21,2,4,2020-10-16,2020-12-01,2,53124968,937.9111370716512,24.463088006230528
20-21,2,5,2020-12-16,2021-02-01,2,627284,937.9111370716512,24.463088006230528
20-21,2,6,2021-02-16,2021-04-01,2,1695450,937.9111370716512,24.463088006230528
21-22,2,1,2021-04-16,2021-06-01,2,74523757,653.6833333333334,25.20817951713396
21-22,2,2,2021-06-16,2021-08-01,2,102719675,653.6833333333334,25.20817951713396
21-22,2,3,2021-08-16,2021-10-01,2,94802488,653.6833333333334,25.20817951713396
21-22,2,4,2021-10-16,2021-12-01,2,26382949,653.6833333333334,25.20817951713396
