season,horizon,harvest_block_order,block_start_date,block_end_date,base_period_count,block_crush_tonnes,growing_season_total_rainfall,growing_season_average_temperature
19-20,3,1,2019-04-16,2019-07-01,3,127999088,1084.217274143302,24.25196261682243
19-20,3,2,2019-07-16,2019-10-01,3,149437650,1084.217274143302,24.25196261682243
19-20,3,3,2019-10-16,2020-01-01,3,61222090,1084.217274143302,24.25196261682243
19-20,3,4,2020-01-16,2020-04-01,3,4654687,1084.217274143302,24.25196261682243
20-21,3,1,2020-04-16,2020-07-01,3,140793668,937.9111370716512,24.463088006230528
20-21,3,2,2020-07-16,2020-10-01,3,160266145,937.9111370716512,24.463088006230528
20-21,3,3,2020-10-16,2021-01-01,3,53741987,937.9111370716512,24.463088006230528
20-21,3,4,2021-01-16,2021-04-01,3,1705715,937.9111370716512,24.463088006230528
21-22,3,1,2021-04-16,2021-07-01,3,123260326,653.6833333333334,25.20817951713396
21-22,3,2,2021-07-16,2021-10-01,3,148785594,653.6833333333334,25.20817951713396
21-22,3,3,2021-10-16,2022-01-01,3,26573631,653.6833333333334,25.20817951713396
21-22,3,4,2022-01-16,2022-04-01,3,68753,653.6833333333334,25.20817951713396
22-23,3,1,2022-04-16,2022-07-01,3,107304501,974.61730529595,24.333469626168224
22-23,3,2,2022-07-16,2022-10-01,3,140356915,974.61730529595,24.333469626168224
22-23,3,3,2022-10-16,2023-01-01,3,64441931,974.61730529595,24.333469626168224
22-23,3,4,2023-01-16,2023-04-01,3,2405316,974.61730529595,24.333469626168224
23-24,3,1,2023-04-16,2023-07-01,3,121307261,1122.5314018691588,23.20907710280374
23-24,3,2,2023-07-16,2023-10-01,3,167423325,1122.5314018691588,23.20907710280374
23-24,3,3,2023-10-16,2024-01-01,3,93586780,1122.5314018691588,23.20907710280374
23-24,3,4,2024-01-16,2024-04-01,3,5285207,1122.5314018691588,23.20907710280374
24-25,3,1,2024-04-16,2024-07-01,3,141971094,777.5752959501558,26.58614875389408
24-25,3,2,2024-07-16,2024-10-01,3,153064706,777.5752959501558,26.58614875389408
24-25,3,3,2024-10-16,2025-01-01,3,59519920,777.5752959501558,26.58614875389408
24-25,3,4,2025-01-16,2025-04-01,3,2893723,777.5752959501558,26.58614875389408
25-26,3,1,2025-04-16,2025-07-01,3,115932547,797.5637694704051,25.507899143302183
25-26,3,2,2025-07-16,2025-10-01,3,163417894,797.5637694704051,25.507899143302183
25-26,3,3,2025-10-16,2026-01-01,3,61633424,797.5637694704051,25.507899143302183
25-26,3,4,2026-01-16,2026-04-01,3,3949200,797.5637694704051,25.507899143302183
