season,horizon,harvest_block_order,block_start_date,block_end_date,base_period_count,block_crush_tonnes,growing_season_total_rainfall,growing_season_average_temperature
10-11,3,1,2010-04-16,2010-07-01,3,139693217,1398.6541588785046,23.436109813084112
10-11,3,2,2010-07-16,2010-10-01,3,144778246,1398.6541588785046,23.436109813084112
10-11,3,3,2010-10-16,2011-01-01,3,70045796,1398.6541588785046,23.436109813084112
10-11,3,4,2011-01-16,2011-04-01,3,1366010,1398.6541588785046,23.436109813084112
11-12,3,1,2011-04-16,2011-07-01,3,111481974,1259.3033177570094,23.421491433021806
11-12,3,2,2011-07-16,2011-10-01,3,148721224,1259.3033177570094,23.421491433021806
11-12,3,3,2011-10-16,2012-01-01,3,43271326,1259.3033177570094,23.421491433021806
11-12,3,4,2012-01-16,2012-04-01,3,151653,1259.3033177570094,23.421491433021806
12-13,3,1,2012-04-16,2012-07-01,3,73734195,915.5781152647976,23.60590537383177
12-13,3,2,2012-07-16,2012-10-01,3,156156552,915.5781152647976,23.60590537383177
12-13,3,3,2012-10-16,2013-01-01,3,99075530,915.5781152647976,23.60590537383177
12-13,3,4,2013-01-16,2013-04-01,3,1781434,915.5781152647976,23.60590537383177
13-14,3,1,2013-04-16,2013-07-01,3,112902970,1067.289875389408,23.89100661993769
13-14,3,2,2013-07-16,2013-10-01,3,157461261,1067.289875389408,23.89100661993769
13-14,3,3,2013-10-16,2014-01-01,3,95044090,1067.289875389408,23.89100661993769
13-14,3,4,2014-01-16,2014-04-01,3,3486921,1067.289875389408,23.89100661993769
14-15,3,1,2014-04-16,2014-07-01,3,125884352,795.7283489096573,24.289188084112148
14-15,3,2,2014-07-16,2014-10-01,3,142058376,795.7283489096573,24.289188084112148
14-15,3,3,2014-10-16,2015-01-01,3,66793949,795.7283489096573,24.289188084112148
14-15,3,4,2015-01-16,2015-04-01,3,2250350,795.7283489096573,24.289188084112148
15-16,3,1,2015-04-16,2015-07-01,3,114893242,963.035124610592,24.23226051401869
15-16,3,2,2015-07-16,2015-10-01,3,143701870,963.035124610592,24.23226051401869
15-16,3,3,2015-10-16,2016-01-01,3,92202538,963.035124610592,24.23226051401869
15-16,3,4,2016-01-16,2016-04-01,3,17524981,963.035124610592,24.23226051401869
16-17,3,1,2016-04-16,2016-07-01,3,129051362,1334.855046728972,24.29186331775701
16-17,3,2,2016-07-16,2016-10-01,3,156877188,1334.855046728972,24.29186331775701
16-17,3,3,2016-10-16,2017-01-01,3,72387666,1334.855046728972,24.29186331775701
16-17,3,4,2017-01-16,2017-04-01,3,7673423,1334.855046728972,24.29186331775701
17-18,3,1,2017-04-16,2017-07-01,3,121083003,996.163785046729,23.41456580996885
17-18,3,2,2017-07-16,2017-10-01,3,160475227,996.163785046729,23.41456580996885
17-18,3,3,2017-10-16,2018-01-01,3,68093146,996.163785046729,23.41456580996885
17-18,3,4,2018-01-16,2018-04-01,3,7490966,996.163785046729,23.41456580996885
18-19,3,1,2018-04-16,2018-07-01,3,136314564,1044.0715887850467,23.914363317757008
18-19,3,2,2018-07-16,2018-10-01,3,137739300,1044.0715887850467,23.914363317757008
18-19,3,3,2018-10-16,2019-01-01,3,55198076,1044.0715887850467,23.914363317757008
18-19,3,4,2019-01-16,2019-04-01,3,4086229,1044.0715887850467,23.914363317757008
