season,horizon,harvest_block_order,block_start_date,block_end_date,base_period_count,block_crush_tonnes,growing_season_total_rainfall,growing_season_average_temperature
10-11,5,1,2010-04-16,2010-09-01,5,244355501,1398.6541588785046,23.436109813084112
10-11,5,2,2010-09-16,2011-02-01,5,110456335,1398.6541588785046,23.436109813084112
11-12,5,1,2011-04-16,2011-09-01,5,213957303,1259.3033177570094,23.421491433021806
11-12,5,2,2011-09-16,2012-02-01,5,89517221,1259.3033177570094,23.421491433021806
12-13,5,1,2012-04-16,2012-09-01,5,184929103,915.5781152647976,23.60590537383177
12-13,5,2,2012-09-16,2013-02-01,5,144619085,915.5781152647976,23.60590537383177
13-14,5,1,2013-04-16,2013-09-01,5,223645611,1067.289875389408,23.89100661993769
13-14,5,2,2013-09-16,2014-02-01,5,142287845,1067.289875389408,23.89100661993769
14-15,5,1,2014-04-16,2014-09-01,5,228653715,795.7283489096573,24.289188084112148
14-15,5,2,2014-09-16,2015-02-01,5,106656435,795.7283489096573,24.289188084112148
15-16,5,1,2015-04-16,2015-09-01,5,218569400,963.035124610592,24.23226051401869
15-16,5,2,2015-09-16,2016-02-01,5,135777582,963.035124610592,24.23226051401869
16-17,5,1,2016-04-16,2016-09-01,5,237768230,1334.855046728972,24.29186331775701
16-17,5,2,2016-09-16,2017-02-01,5,121245348,1334.855046728972,24.29186331775701
17-18,5,1,2017-04-16,2017-09-01,5,229603936,996.163785046729,23.41456580996885
17-18,5,2,2017-09-16,2018-02-01,5,120073018,996.163785046729,23.41456580996885
18-19,5,1,2018-04-16,2018-09-01,5,235213295,1044.0715887850467,23.914363317757008
18-19,5,2,2018-09-16,2019-02-01,5,94211715,1044.0715887850467,23.914363317757008
19-20,5,1,2019-04-16,2019-09-01,5,233831046,1084.217274143302,24.25196261682243
19-20,5,2,2019-09-16,2020-02-01,5,104847774,1084.217274143302,24.25196261682243
20-21,5,1,2020-04-16,2020-09-01,5,251300957,937.9111370716512,24.463088006230528
20-21,5,2,2020-09-16,2021-02-01,5,103511108,937.9111370716512,24.463088006230528
21-22,5,1,2021-04-16,2021-09-01,5,228793589,653.6833333333334,25.20817951713396
21-22,5,2,2021-09-16,2022-02-01,5,69825962,653.6833333333334,25.20817951713396
22-23,5,1,2022-04-16,2022-09-01,5,211075796,974.61730529595,24.333469626168224
22-23,5,2,2022-09-16,2023-02-01,5,101027551,974.61730529595,24.333469626168224
23-24,5,1,2023-04-16,2023-09-01,5,236921368,1122.5314018691588,23.20907710280374
23-24,5,2,2023-09-16,2024-02-01,5,146344652,1122.5314018691588,23.20907710280374
24-25,5,1,2024-04-16,2024-09-01,5,247386041,777.5752959501558,26.58614875389408
24-25,5,2,2024-09-16,2025-02-01,5,107169679,777.5752959501558,26.58614875389408
25-26,5,1,2025-04-16,2025-09-01,5,229634023,797.5637694704051,25.507899143302183
25-26,5,2,2025-09-16,2026-02-01,5,111512457,797.5637694704051,25.507899143302183
