season,period_end_date,region,crush_tonnes
24-25,2024-07-16,sao_paulo,25384801
24-25,2024-08-01,other_states,21874413
24-25,2024-08-01,sao_paulo,29715823
24-25,2024-08-16,other_states,19399899
24-25,2024-08-16,sao_paulo,24634013
24-25,2024-09-01,other_states,19548331
24-25,2024-09-01,sao_paulo,25680310
24-25,2024-09-16,other_states,18163729
24-25,2024-09-16,sao_paulo,24825767
24-25,2024-10-01,other_states,16020196
24-25,2024-10-01,sao_paulo,22823992
24-25,2024-10-16,other_states,14028502
24-25,2024-10-16,sao_paulo,19908274
24-25,2024-11-01,other_states,12050054
24-25,2024-11-01,sao_paulo,15155722
24-25,2024-11-16,other_states,8226505
24-25,2024-11-16,sao_paulo,8182158
24-25,2024-12-01,other_states,8336702
24-25,2024-12-01,sao_paulo,11929073
24-25,2024-12-16,other_states,4947572
24-25,2024-12-16,sao_paulo,3866849
24-25,2025-01-01,other_states,1236644
24-25,2025-01-01,sao_paulo,477844
24-25,2025-01-16,other_states,301061
24-25,2025-01-16,sao_paulo,0
24-25,2025-02-01,other_states,239366
24-25,2025-02-01,sao_paulo,0
24-25,2025-02-16,other_states,244777
24-25,2025-02-16,sao_paulo,0
24-25,2025-03-01,other_states,282536
24-25,2025-03-01,sao_paulo,0
24-25,2025-03-16,other_states,911990
24-25,2025-03-16,sao_paulo,948546
24-25,2025-04-01,other_states,2664237
24-25,2025-04-01,sao_paulo,1945177
25-26,2025-04-16,other_states,8422586
25-26,2025-04-16,sao_paulo,8253154
25-26,2025-05-01,other_states,7926941
25-26,2025-05-01,sao_paulo,10028593
25-26,2025-05-16,other_states,18277873
25-26,2025-05-16,sao_paulo,24240417
25-26,2025-06-01,other_states,19731276
25-26,2025-06-01,sao_paulo,28069872
25-26,2025-06-16,other_states,17986456
25-26,2025-06-16,sao_paulo,20849479
25-26,2025-07-01,other_states,18294852
25-26,2025-07-01,sao_paulo,24491032
25-26,2025-07-16,other_states,21448969
25-26,2025-07-16,sao_paulo,28567715
25-26,2025-08-01,other_states,21840759
25-26,2025-08-01,sao_paulo,28561403
25-26,2025-08-16,other_states,19911743
25-26,2025-08-16,sao_paulo,27900819
25-26,2025-09-01,other_states,21560705
25-26,2025-09-01,sao_paulo,28671539
25-26,2025-09-16,other_states,19746488
25-26,2025-09-16,sao_paulo,26357017
25-26,2025-10-01,other_states,17623960
25-26,2025-10-01,sao_paulo,23359401
25-26,2025-10-16,other_states,15112989
25-26,2025-10-16,sao_paulo,18973712
25-26,2025-11-01,other_states,13449305
25-26,2025-11-01,sao_paulo,17744238
25-26,2025-11-16,other_states,7715272
25-26,2025-11-16,sao_paulo,11065987
25-26,2025-12-01,other_states,6363851
25-26,2025-12-01,sao_paulo,9629360
25-26,2025-12-16,other_states,2687938
25-26,2025-12-16,sao_paulo,3294011
25-26,2026-01-01,other_states,1277477
25-26,2026-01-01,sao_paulo,926116
25-26,2026-01-16,other_states,442477
25-26,2026-01-16,sao_paulo,162615
25-26,2026-02-01,other_states,608932
25-26,2026-02-01,sao_paulo,0
25-26,2026-02-16,other_states,352453
25-26,2026-02-16,sao_paulo,0
25-26,2026-03-01,other_states,313833
25-26,2026-03-01,sao_paulo,47449
25-26,2026-03-16,other_states,887763
25-26,2026-03-16,sao_paulo,419996
25-26,2026-04-01,other_states,4234851
25-26,2026-04-01,sao_paulo,3319140
