season,period_end_date,region,crush_tonnes
12-13,2013-02-16,sao_paulo,22403
12-13,2013-03-01,other_states,35942
12-13,2013-03-01,sao_paulo,100094
12-13,2013-03-16,other_states,105636
12-13,2013-03-16,sao_paulo,139326
12-13,2013-04-01,other_states,864579
12-13,2013-04-01,sao_paulo,937700
13-14,2013-04-16,other_states,2518077
13-14,2013-04-16,sao_paulo,5214640
13-14,2013-05-01,other_states,11703887
13-14,2013-05-01,sao_paulo,20438461
13-14,2013-05-16,other_states,14053461
13-14,2013-05-16,sao_paulo,26368975
13-14,2013-06-01,other_states,14055788
13-14,2013-06-01,sao_paulo,21487906
13-14,2013-06-16,other_states,14321490
13-14,2013-06-16,sao_paulo,21330218
13-14,2013-07-01,other_states,11342033
13-14,2013-07-01,sao_paulo,18062770
13-14,2013-07-16,other_states,16777129
13-14,2013-07-16,sao_paulo,26215613
13-14,2013-08-01,other_states,17772961
13-14,2013-08-01,sao_paulo,26659518
13-14,2013-08-16,other_states,18316154
13-14,2013-08-16,sao_paulo,28155642
13-14,2013-09-01,other_states,19097706
13-14,2013-09-01,sao_paulo,29711868
13-14,2013-09-16,other_states,16283195
13-14,2013-09-16,sao_paulo,26815205
13-14,2013-10-01,other_states,14167282
13-14,2013-10-01,sao_paulo,19903415
13-14,2013-10-16,other_states,12732056
13-14,2013-10-16,sao_paulo,18556530
13-14,2013-11-01,other_states,14378177
13-14,2013-11-01,sao_paulo,24560366
13-14,2013-11-16,other_states,12022833
13-14,2013-11-16,sao_paulo,20291146
13-14,2013-12-01,other_states,9888573
13-14,2013-12-01,sao_paulo,16154143
13-14,2013-12-16,other_states,6687513
13-14,2013-12-16,sao_paulo,11383040
13-14,2014-01-01,other_states,1639668
13-14,2014-01-01,sao_paulo,4098865
13-14,2014-01-16,other_states,277589
13-14,2014-01-16,sao_paulo,381904
13-14,2014-02-01,other_states,167550
13-14,2014-02-01,sao_paulo,143231
13-14,2014-02-16,other_states,129947
13-14,2014-02-16,sao_paulo,19324
13-14,2014-03-01,other_states,54351
13-14,2014-03-01,sao_paulo,0
13-14,2014-03-16,other_states,64870
13-14,2014-03-16,sao_paulo,35957
13-14,2014-04-01,other_states,1629829
13-14,2014-04-01,sao_paulo,2906505
14-15,2014-04-16,other_states,4681962
14-15,2014-04-16,sao_paulo,7986588
14-15,2014-05-01,other_states,8447147
14-15,2014-05-01,sao_paulo,15502871
14-15,2014-05-16,other_states,14421045
14-15,2014-05-16,sao_paulo,24513890
14-15,2014-06-01,other_states,14007124
14-15,2014-06-01,sao_paulo,23995751
14-15,2014-06-16,other_states,14674464
14-15,2014-06-16,sao_paulo,26857427
14-15,2014-07-01,other_states,17115789
14-15,2014-07-01,sao_paulo,27027825
14-15,2014-07-16,other_states,15863207
14-15,2014-07-16,sao_paulo,25535610
14-15,2014-08-01,other_states,13496951
14-15,2014-08-01,sao_paulo,22497988
14-15,2014-08-16,other_states,18042328
14-15,2014-08-16,sao_paulo,26819329
14-15,2014-09-01,other_states,19530024
14-15,2014-09-01,sao_paulo,27916436
14-15,2014-09-16,other_states,16247911
14-15,2014-09-16,sao_paulo,23685731
14-15,2014-10-01,other_states,13213054
14-15,2014-10-01,sao_paulo,15603282
14-15,2014-10-16,other_states,16457063
14-15,2014-10-16,sao_paulo,22952033
14-15,2014-11-01,other_states,14863166
14-15,2014-11-01,sao_paulo,19605523
14-15,2014-11-16,other_states,11000319
14-15,2014-11-16,sao_paulo,12136735
14-15,2014-12-01,other_states,8772735
14-15,2014-12-01,sao_paulo,6993255
14-15,2014-12-16,other_states,6441988
14-15,2014-12-16,sao_paulo,3720680
14-15,2015-01-01,other_states,2301360
14-15,2015-01-01,sao_paulo,1385723
14-15,2015-01-16,other_states,802165
14-15,2015-01-16,sao_paulo,416881
14-15,2015-02-01,other_states,664534
14-15,2015-02-01,sao_paulo,156592
14-15,2015-02-16,other_states,369324
14-15,2015-02-16,sao_paulo,94751
14-15,2015-03-01,other_states,419173
14-15,2015-03-01,sao_paulo,73015
14-15,2015-03-16,other_states,901171
14-15,2015-03-16,sao_paulo,335786
14-15,2015-04-01,other_states,3423966
14-15,2015-04-01,sao_paulo,1173325
15-16,2015-04-16,other_states,6785639
15-16,2015-04-16,sao_paulo,6260159
15-16,2015-05-01,other_states,10958044
15-16,2015-05-01,sao_paulo,16159620
15-16,2015-05-16,other_states,12361939
15-16,2015-05-16,sao_paulo,16309353
15-16,2015-06-01,other_states,15921642
15-16,2015-06-01,sao_paulo,24604258
15-16,2015-06-16,other_states,16307523
15-16,2015-06-16,sao_paulo,23349874
15-16,2015-07-01,other_states,18566876
15-16,2015-07-01,sao_paulo,28209978
15-16,2015-07-16,other_states,12766011
15-16,2015-07-16,sao_paulo,16636313
15-16,2015-08-01,other_states,19328949
15-16,2015-08-01,sao_paulo,30338846
15-16,2015-08-16,other_states,19411188
15-16,2015-08-16,sao_paulo,28397118
15-16,2015-09-01,other_states,19176991
15-16,2015-09-01,sao_paulo,28303881
15-16,2015-09-16,other_states,14034233
15-16,2015-09-16,sao_paulo,15657756
15-16,2015-10-01,other_states,16281427
15-16,2015-10-01,sao_paulo,24367956
15-16,2015-10-16,other_states,13340103
15-16,2015-10-16,sao_paulo,22976350
15-16,2015-11-01,other_states,15533263
15-16,2015-11-01,sao_paulo,23116705
15-16,2015-11-16,other_states,10965246
15-16,2015-11-16,sao_paulo,14736915
15-16,2015-12-01,other_states,7196367
15-16,2015-12-01,sao_paulo,11645832
15-16,2015-12-16,other_states,5544704
15-16,2015-12-16,sao_paulo,12448059
15-16,2016-01-01,other_states,3281871
15-16,2016-01-01,sao_paulo,7278677
15-16,2016-01-16,other_states,529940
15-16,2016-01-16,sao_paulo,1354770
15-16,2016-02-01,other_states,1848052
15-16,2016-02-01,sao_paulo,2194562
15-16,2016-02-16,other_states,1146128
15-16,2016-02-16,sao_paulo,1627319
15-16,2016-03-01,other_states,555634
15-16,2016-03-01,sao_paulo,497817
15-16,2016-03-16,other_states,2576281
15-16,2016-03-16,sao_paulo,2724979
15-16,2016-04-01,other_states,4968700
15-16,2016-04-01,sao_paulo,9125534
16-17,2016-04-16,other_states,12129681
16-17,2016-04-16,sao_paulo,20807630
16-17,2016-05-01,other_states,13230965
16-17,2016-05-01,sao_paulo,23003133
16-17,2016-05-16,other_states,14485853
16-17,2016-05-16,sao_paulo,25206199
16-17,2016-06-01,other_states,13823349
16-17,2016-06-01,sao_paulo,18683238
16-17,2016-06-16,other_states,13665563
