horizon,cv_r_squared_block_only,cv_r_squared_weather_block,cv_rmse_tonnes_block_only,cv_rmse_tonnes_weather_block,cv_mae_tonnes_block_only,cv_mae_tonnes_weather_block,cv_normalized_rmse_block_only,cv_normalized_rmse_weather_block,cv_normalized_mae_block_only,cv_normalized_mae_weather_block,incremental_cv_r_squared,incremental_cv_rmse_improvement_tonnes,incremental_cv_mae_improvement_tonnes,incremental_cv_nrmse_improvement,incremental_cv_nmae_improvement,weather_improves_cv_r_squared,weather_improves_cv_nrmse
1,0.9228214556018566,0.9207388386977787,5913106.188244097,5992355.938857891,4066991.9118055534,4184782.0254620686,0.20552673584460115,0.20828128515280298,0.14135981085568894,0.14545393952578087,-0.0020826169040778497,-79249.75061379373,-117790.11365651526,-0.00275454930820182,-0.004094128670091929,False,False
2,0.943510981916529,0.9411954838067156,9595373.275136419,9790056.583455555,6561301.427777775,6737257.745754846,0.16675717344380442,0.17014055804814399,0.11402829768427787,0.11708622752130327,-0.002315498109813463,-194683.3083191365,-175956.31797707174,-0.0033833846043395677,-0.0030579298370253943,False,False
3,0.9389936721373195,0.9364495329502641,14269552.191297881,14564053.827173512,9713478.683333337,10005216.028525146,0.1653262200089414,0.16873829921037983,0.11253981150384415,0.11591986379065795,-0.0025441391870554275,-294501.6358756311,-291737.3451918084,-0.003412079201438434,-0.0033800522868138033,False,False
4,0.9545650808866962,0.951901189750023,16046071.222299227,16509769.233497364,11796270.591666663,12064907.604348028,0.13943165133774063,0.14346093542402416,0.1025031900604534,0.1048374999217076,-0.002663891136673202,-463698.01119813696,-268637.012681365,-0.00402928408628353,-0.0023343098612541996,False,False
5,0.8965796246463638,0.8882615538107042,19462954.572878383,20230519.169945225,14810071.000000002,15431921.472202905,0.11397001873444348,0.11846467812338879,0.0867239381877062,0.09036533341891882,-0.008318070835659608,-767564.597066842,-621850.4722029027,-0.004494659388945305,-0.003641395231212624,False,False
