specification,season_count,observation_count,in_sample_r_squared,in_sample_rmse_tonnes,in_sample_mae_tonnes,in_sample_normalized_rmse,in_sample_normalized_mae,cv_r_squared,cv_rmse_tonnes,cv_mae_tonnes,cv_normalized_rmse,cv_normalized_mae
mean_only,16,16,0.0,23868478.246051576,19478126.4375,0.06913470781850864,0.056418116237942136,-0.13777777777777822,25459710.129121684,20776668.200000007,0.07374368833974256,0.060179323987138295
weather,16,16,0.09209921638113594,22742799.705398925,17956066.56496859,0.06587419593319561,0.05200949146157447,-0.3762606491064262,28001099.016092815,22260603.462785468,0.08110478511108861,0.064477521373527
