model,horizon,season_count,observation_count,blocks_per_season,predictor_count_excluding_intercept,loso_rmse,loso_mae,loso_r_squared,all_folds_design_full_rank,maximum_fold_design_condition_number
block_only_ols,1,16,192,12,11,5913106.188244097,4066991.9118055534,0.9228214556018566,True,12.92261628933257
block_only_ols,2,16,96,6,5,9595373.275136419,6561301.427777775,0.943510981916529,True,6.854101966249686
block_only_ols,3,16,64,4,3,14269552.191297881,9713478.683333337,0.9389936721373195,True,4.7912878474779195
block_only_ols,4,16,48,3,2,16046071.222299227,11796270.591666663,0.9545650808866962,True,3.7320508075688763
block_only_ols,5,16,32,2,1,19462954.572878383,14810071.000000002,0.8965796246463638,True,2.6180339887498953
