model,horizon,held_out_season,training_seasons,training_observations,test_observations,design_columns_including_intercept,design_rank,design_full_column_rank,design_condition_number,fold_rmse,fold_mae,fold_r_squared
block_only_ols,1,10-11,15,180,12,12,12,True,12.92261628933257,4316007.351903103,3087503.483333327,0.9582633351560496
block_only_ols,1,11-12,15,180,12,12,12,True,12.92261628933257,5944425.608153799,4265226.894444444,0.925495287157724
block_only_ols,1,12-13,15,180,12,12,12,True,12.92261628933257,10432559.818474216,7643272.505555555,0.7497115775831866
block_only_ols,1,13-14,15,180,12,12,12,True,12.92261628933257,6093244.152075806,4118757.1499999943,0.9094975919709569
block_only_ols,1,14-15,15,180,12,12,12,True,12.92261628933257,3974259.1186752063,3206870.2277777847,0.9648867671402805
block_only_ols,1,15-16,15,180,12,12,12,True,12.92261628933257,6837603.93556536,5978187.138888898,0.8569118275269728
block_only_ols,1,16-17,15,180,12,12,12,True,12.92261628933257,6582058.503641227,4190105.427777776,0.8955553783426787
block_only_ols,1,17-18,15,180,12,12,12,True,12.92261628933257,3746837.190464288,2770068.327777768,0.9681860981638631
block_only_ols,1,18-19,15,180,12,12,12,True,12.92261628933257,5782441.475368315,4020586.472222215,0.9158312315836172
block_only_ols,1,19-20,15,180,12,12,12,True,12.92261628933257,3601066.024502162,2703283.172222228,0.9729564530125837
block_only_ols,1,20-21,15,180,12,12,12,True,12.92261628933257,5631546.395394578,4046780.9611111004,0.9405817780458738
block_only_ols,1,21-22,15,180,12,12,12,True,12.92261628933257,7928207.28581282,4773882.127777778,0.873475970031309
block_only_ols,1,22-23,15,180,12,12,12,True,12.92261628933257,4668032.359966051,3157688.9277777784,0.9475765644455459
block_only_ols,1,23-24,15,180,12,12,12,True,12.92261628933257,6787208.377452208,5016441.983333335,0.9027427787119502
block_only_ols,1,24-25,15,180,12,12,12,True,12.92261628933257,4156888.1046040193,3160015.749999989,0.9650239258734868
block_only_ols,1,25-26,15,180,12,12,12,True,12.92261628933257,3672298.010040079,2933200.038888885,0.9728276670151568
block_only_ols,2,10-11,15,90,6,6,6,True,6.854101966249686,6980737.145968833,5303152.011111104,0.971407385003508
block_only_ols,2,11-12,15,90,6,6,6,True,6.854101966249686,9660460.257025221,7399071.700000002,0.9433784246092134
block_only_ols,2,12-13,15,90,6,6,6,True,6.854101966249686,19145037.150139976,15263027.188888885,0.7497657793536349
block_only_ols,2,13-14,15,90,6,6,6,True,6.854101966249686,10627499.677411431,8237514.299999998,0.9227286302197388
block_only_ols,2,14-15,15,90,6,6,6,True,6.854101966249686,2081336.0698352156,1865898.811111105,0.9972128886535195
block_only_ols,2,15-16,15,90,6,6,6,True,6.854101966249686,10733559.081728706,9364898.900000013,0.8929264968462685
block_only_ols,2,16-17,15,90,6,6,6,True,6.854101966249686,7056748.144575494,4887802.388888895,0.9682654915098454
block_only_ols,2,17-18,15,90,6,6,6,True,6.854101966249686,5282535.2116216235,4256759.322222222,0.9831641741646675
block_only_ols,2,18-19,15,90,6,6,6,True,6.854101966249686,9418218.426945154,7380493.522222222,0.9427461298083634
block_only_ols,2,19-20,15,90,6,6,6,True,6.854101966249686,3142435.4650433613,2322288.366666667,0.994129865722026
block_only_ols,2,20-21,15,90,6,6,6,True,6.854101966249686,9411667.688605277,7834126.522222207,0.9557535858239158
block_only_ols,2,21-22,15,90,6,6,6,True,6.854101966249686,15370069.658016503,8799481.300000003,0.8701937839275145
block_only_ols,2,22-23,15,90,6,6,6,True,6.854101966249686,8217160.982946494,5789400.722222205,0.9533168708376845
block_only_ols,2,23-24,15,90,6,6,6,True,6.854101966249686,9640504.381274223,7530065.366666661,0.9424858426954663
block_only_ols,2,24-25,15,90,6,6,6,True,6.854101966249686,7123624.793745109,5524801.366666659,0.9727182594461048
