model,horizon,held_out_season,training_seasons,training_observations,test_observations,selected_alpha,selected_alpha_at_minimum_grid,selected_alpha_at_maximum_grid,weather_rank,weather_condition_number,weather_effective_degrees_of_freedom,fold_rmse,fold_mae,fold_r_squared
rainfall_month_level_ridge,1,10-11,15,180,12,100000000.0,False,True,9,5.091879106206503,8.999999822162735e-08,4316007.341534057,3087503.4991101976,0.958263335356591
rainfall_month_level_ridge,1,11-12,15,180,12,3.1622776601683795,False,False,9,5.53180647967052,1.8654112772783236,6524019.492818945,4820305.018423765,0.9102582669224373
rainfall_month_level_ridge,1,12-13,15,180,12,100000000.0,False,True,9,5.9737915184989925,8.99999981727462e-08,10432559.816648785,7643272.508018423,0.7497115776707748
rainfall_month_level_ridge,1,13-14,15,180,12,100000000.0,False,True,9,6.122521545239166,8.999999821582482e-08,6093244.148317015,4118757.146368301,0.9094975920826149
rainfall_month_level_ridge,1,14-15,15,180,12,100000000.0,False,True,9,7.6262467735668436,8.999999818782106e-08,3974259.1169719514,3206870.226240998,0.9648867671703777
rainfall_month_level_ridge,1,15-16,15,180,12,100000000.0,False,True,9,5.7740629176634215,8.999999819535505e-08,6837603.932134462,5978187.13507675,0.8569118276705673
rainfall_month_level_ridge,1,16-17,15,180,12,100000000.0,False,True,9,6.903004546695441,8.999999828338618e-08,6582058.4942651065,4190105.4166211956,0.8955553786402408
rainfall_month_level_ridge,1,17-18,15,180,12,31.622776601683793,False,False,9,7.014894874388114,0.26775740528295155,3764263.315024381,2771113.60658598,0.9678894841408175
rainfall_month_level_ridge,1,18-19,15,180,12,100000000.0,False,True,9,8.286676239529575,8.999999814586374e-08,5782441.47483451,4020586.470764095,0.9158312315991572
rainfall_month_level_ridge,1,19-20,15,180,12,177.82794100389228,False,False,9,6.864976361903636,0.05001487594305915,3601313.2242578515,2704134.273359462,0.9729527400078133
rainfall_month_level_ridge,1,20-21,15,180,12,100000000.0,False,True,9,6.620704635558892,8.99999980963768e-08,5631546.393996509,4046780.9598002355,0.9405817780753758
rainfall_month_level_ridge,1,21-22,15,180,12,100000000.0,False,True,9,5.620128652836296,8.999999826084555e-08,7928207.283424148,4773882.124727065,0.8734759701075492
rainfall_month_level_ridge,1,22-23,15,180,12,100000000.0,False,True,9,5.715057734988963,8.999999817545295e-08,4668032.346071119,3157688.9119512527,0.9475765647576346
rainfall_month_level_ridge,1,23-24,15,180,12,100000000.0,False,True,9,6.168334939923721,8.99999982090831e-08,6787208.373668692,5016441.978786311,0.9027427788203819
rainfall_month_level_ridge,1,24-25,15,180,12,1.7782794100389228,False,False,9,5.5053138726372675,2.6706051596485976,5035829.923980743,3585083.917757698,0.9486693811219167
rainfall_month_level_ridge,1,25-26,15,180,12,100000000.0,False,True,9,6.125547383162134,8.999999821308676e-08,3672298.009936238,2933200.0366038647,0.9728276670166935
