horizon,held_out_season,training_seasons,training_observations,test_observations,weather_predictor_count,weather_max_rank_after_centering,weather_rank,weather_full_column_rank,weather_condition_number,augmented_design_columns,augmented_design_rank,augmented_design_full_column_rank,augmented_design_condition_number,fold_rmse,fold_mae,fold_r_squared,weather_singular_value_1,weather_singular_value_2,weather_singular_value_3,weather_singular_value_4,weather_singular_value_5,weather_singular_value_6,weather_singular_value_7,weather_singular_value_8,weather_singular_value_9
1,10-11,15,180,12,9,9,9,True,11.075347805740288,21,21,True,28.013776607409632,5486630.663790313,4699737.989460929,0.9325526574484213,8.71267357147067,4.705339122739492,3.5147146590988596,3.004685601693352,2.6711565866181255,1.986003240000586,1.5015515284940433,1.2708072217951634,0.7866726828167819
1,11-12,15,180,12,9,9,9,True,12.278651560846598,21,21,True,27.818004615266783,4931654.952914648,3944700.9055555533,0.9487198462284064,8.651785763094063,4.69986344978842,3.4702744535967973,2.9964584246634023,2.5954514735976746,2.2687463540084747,1.6956738570783656,1.3345190070691728,0.7046201873406311
1,12-13,15,180,12,9,9,9,True,10.182790648116617,21,21,True,28.530826148781504,10416174.919121962,7669350.261970661,0.7504971432160293,8.873483159459616,4.494388919114746,3.434704120138912,2.9416822739270057,2.4442072826419534,2.184918599593215,1.7471913877234777,1.0251875487573845,0.871419580947668
1,13-14,15,180,12,9,9,9,True,13.293263577151725,21,21,True,28.584699971627384,7811460.333308493,6389370.876138754,0.8512601162968902,8.890238666547475,4.360782720447962,3.6006270591701703,2.857754665404158,2.3015530960115345,2.2033054452200256,1.8704666691964582,1.3108557570739872,0.6687777320407527
1,14-15,15,180,12,9,9,9,True,9.753127233692776,21,21,True,28.759804304860175,3968204.862765721,3194277.0166666643,0.9649936663479445,8.94469854597708,4.138431473272688,3.6227788882490284,2.751471656854611,2.620454423978235,2.1039499220029816,1.8559484936623332,1.2615886712473845,0.9171108231908499
1,15-16,15,180,12,9,9,9,True,9.830660730100366,21,21,True,28.341604950122797,7198605.984898548,6309583.931959756,0.8414038423542789,8.81463273883194,4.536349560616831,3.6235949410190638,2.9020356026014915,2.314155204005847,2.01301005541142,1.8265647893143107,1.2742420461145998,0.8966470292116313
1,16-17,15,180,12,9,9,9,True,12.002755586326451,21,21,True,28.426192833964908,6818971.885377398,5118168.995900273,0.8879013443131727,8.840940745436903,4.534595129938553,3.654383448649219,2.779552439963697,2.5832531977460214,2.0358193053898495,1.6920191808414649,0.9856740150638065,0.7365759205751478
1,17-18,15,180,12,9,9,9,True,10.006209609769247,21,21,True,27.90758534951201,3652042.7162905373,3103108.264854174,0.9697755094486514,8.67964661551355,4.579652591632909,3.6238342851344334,2.829065933354334,2.606774794082831,2.2025989672820185,1.8663241913597985,1.2932195701214098,0.8674260238401813
1,18-19,15,180,12,9,9,9,True,9.711009528067542,21,21,True,28.234816458392856,6216725.20625396,4923759.161182755,0.902713669540715,8.781420034858765,4.568543770824202,3.3655026219689255,2.900075317818158,2.631719855342802,2.2090127477854833,1.8623176672775772,1.089219321376781,0.9042746801429858
1,19-20,15,180,12,9,9,9,True,9.79061210596912,21,21,True,28.500334626508476,4287188.260020792,3446925.5133257285,0.9616693138373871,8.863999872575977,4.365994484626456,3.616085622909811,2.9281206971814897,2.6112847016174023,1.9072833295821845,1.8031354650096303,1.0909289396236583,0.9053570682441595
1,20-21,15,180,12,9,9,9,True,11.624504372280404,21,21,True,28.518715900826827,5679057.160090307,4311179.426782038,0.9395749805659597,8.869716704162366,4.223452368254653,3.640463784375783,2.8802841896271527,2.4940931238663824,2.2457561466046205,1.8920429565833012,1.2311037767457393,0.7630189141924143
1,21-22,15,180,12,9,9,9,True,9.836376401807325,21,21,True,27.633296263466995,7932445.500468421,4779291.149156946,0.8733406609235338,8.594338900512517,4.61509899994075,3.6290157268381518,2.9650730044131692,2.6408659979768796,2.1789013259433174,1.9057481192708634,1.3265453222260464,0.8737301776021302
1,22-23,15,180,12,9,9,9,True,9.73279156436905,21,21,True,28.320225067925428,5160730.915198342,4799169.515757137,0.9359262424988699,8.80798329855145,4.607798865030111,3.5770511539155194,2.815296883288276,2.58363761063618,2.176377953112159,1.3089693075741775,1.2337885925869148,0.9049801632243676
1,23-24,15,180,12,9,9,9,True,9.420908470173945,21,21,True,27.51926036150631,6201070.522108088,4618241.706339619,0.9188155538243928,8.558872151307806,4.672847608128118,3.6269830205055578,2.956677635957723,2.6693083103098925,2.262465913736856,1.8397682703625589,1.2486714232303406,0.908497538045795
1,24-25,15,180,12,9,9,9,True,10.561794849131635,21,21,True,24.17995625375255,8433338.637332492,7417423.683370601,0.8560427733626069,7.520302198585547,5.2682070595998685,4.059832403603341,3.754466067534298,2.76207985043575,2.3652963861920893,2.0180037417948324,1.519788933120608,0.7120288081721118
