horizon,block_only_rmse,block_only_mae,block_only_r_squared,rainfall_ridge_rmse,rainfall_ridge_mae,rainfall_ridge_r_squared,temperature_ridge_rmse,temperature_ridge_mae,temperature_ridge_r_squared,joint_ridge_rmse,joint_ridge_mae,joint_ridge_r_squared,selected_alpha_min,selected_alpha_median,selected_alpha_max,mean_weather_effective_degrees_of_freedom,maximum_alpha_boundary_fraction,joint_vs_block_rmse_improvement_percent,joint_vs_block_mae_improvement_percent,joint_vs_block_r_squared_improvement,joint_vs_rainfall_ridge_rmse_improvement_percent,joint_vs_rainfall_ridge_mae_improvement_percent,joint_vs_temperature_ridge_rmse_improvement_percent,joint_vs_temperature_ridge_mae_improvement_percent
1,5913106.188244097,4066991.911805554,0.9228214556018566,5994144.876129825,4128369.576887224,0.9206915069263184,5946165.964429634,4088249.894760871,0.9219560430861262,6312283.481621089,4391534.610915686,0.9120495195428926,0.0001,100000000.0,100000000.0,1.202433522197572,0.8125,-6.75072086766513,-7.979919954304764,-0.010771936058963982,-5.307489426192746,-6.374551239351193,-6.157203135290797,-7.418448577311218
2,9595373.27513642,6561301.427777775,0.943510981916529,9794436.1909981,6746305.360031913,0.941142859328764,9676747.791565366,6617218.122466502,0.9425487977335144,10563691.595497351,7401957.655388151,0.931534512535762,0.0001,100000000.0,100000000.0,1.202433522197209,0.8125,-10.091512780123333,-12.812339699124228,-0.011976469380767019,-7.8540039416077985,-9.71868690143514,-9.165722028066911,-11.8590549442119
3,14269552.19129788,9713478.683333335,0.9389936721373195,14570677.8072751,10023791.151745602,0.9363917121315004,14392661.452559454,9785619.543478563,0.9379364782338576,15733435.77767444,10968856.37638447,0.925834600685251,0.0001,100000000.0,100000000.0,1.2024335221973135,0.8125,-10.258791353447611,-12.924079353827667,-0.013159071452068516,-7.980122721667613,-9.428221421735117,-9.315680282860786,-12.091588352159597
4,16046071.222299227,11796270.591666665,0.9545650808866962,16520156.467552714,12122147.080537587,0.951840647320818,16240364.52178803,11826139.99098557,0.9534581251495629,18318241.427973676,13499585.444555238,0.9407866154684359,0.0001,100000000.0,100000000.0,1.2024335221976985,0.8125,-14.160289918923045,-14.439435240590864,-0.013778465418260333,-10.88418843945326,-11.36299002863249,-12.79452135078601,-14.150394421554664
5,19462954.572878383,14810071.000000002,0.8965796246463638,20485990.25730666,15667641.10382801,0.8854216680666822,19753791.35192518,14957783.221938455,0.8934656902946748,22876933.625437696,17166325.550240766,0.8571158038237587,0.0001,100000000.0,100000000.0,1.1734128011361362,0.8125,-17.540908497606473,-15.909812655461032,-0.03946382082260502,-11.671114445045024,-9.565475979958398,-15.810343532904323,-14.76517138624566
