horizon,block_only_rmse,block_only_mae,block_only_r_squared,rainfall_ols_rmse,rainfall_ols_mae,rainfall_ols_r_squared,rainfall_ridge_rmse,rainfall_ridge_mae,rainfall_ridge_r_squared,selected_alpha_min,selected_alpha_median,selected_alpha_max,mean_weather_effective_degrees_of_freedom,maximum_alpha_boundary_fraction,ridge_vs_block_rmse_improvement_percent,ridge_vs_block_mae_improvement_percent,ridge_vs_block_r_squared_improvement,ridge_vs_ols_rmse_improvement_percent,ridge_vs_ols_mae_improvement_percent
1,5913106.188244097,4066991.911805554,0.9228214556018566,6882774.818678592,5241977.043097709,0.895433553556091,5994144.876129825,4128369.5768872243,0.9206915069263184,1.7782794100389228,100000000.0,100000000.0,0.30336186238455687,0.75,-1.3704926870219503,-1.5091661457084555,-0.0021299486755381736,12.910925694346245,21.244035543360688
2,9595373.27513642,6561301.427777775,0.943510981916529,11903875.248587891,9493542.6278566,0.913060525428564,9794436.1909981,6746305.360031913,0.941142859328764,1.7782794100389228,100000000.0,100000000.0,0.3033618623845569,0.75,-2.074571881194993,-2.8196225137731066,-0.002368122587765087,17.720607899011927,28.93795683566591
3,14269552.19129788,9713478.683333335,0.9389936721373195,17756407.278524652,13365902.764464222,0.9055364219299326,14570677.8072751,10023791.151745602,0.9363917121315004,1.7782794100389228,100000000.0,100000000.0,0.303361862384557,0.75,-2.110266754978185,-3.1946584589176075,-0.0026019600058191372,17.941295337951097,25.004757790130384
4,16046071.222299227,11796270.591666665,0.9545650808866962,21354171.307968523,17285504.777708054,0.919533006879742,16520156.467552714,12122147.080537587,0.9518406473208181,1.7782794100389228,100000000.0,100000000.0,0.3033618623845569,0.75,-2.95452537063808,-2.762538264433626,-0.0027244335658781482,22.637332869067826,29.871026409534185
5,19462954.572878383,14810071.000000002,0.8965796246463638,27841723.95133029,22350480.334081825,0.7883682525194537,20485990.25730666,15667641.10382801,0.8854216680666822,1.0,100000000.0,100000000.0,0.3559488106826314,0.75,-5.256322623564452,-5.790452347108986,-0.01115795657968155,26.41982122544595,29.900204068828355
