horizon,block_only_rmse,block_only_mae,block_only_r_squared,temperature_ols_rmse,temperature_ols_mae,temperature_ols_r_squared,rmse_improvement_tonnes,rmse_improvement_percent,mae_improvement_tonnes,mae_improvement_percent,r_squared_improvement,temperature_improves_rmse,temperature_improves_mae
1,5913106.188244097,4066991.911805554,0.9228214556018566,6441468.26354759,4917998.615750264,0.9084127603727344,-528362.0753034931,-8.935440333439889,-851006.7039447105,-20.92472083542707,-0.014408695229122137,False,False
2,9595373.27513642,6561301.427777775,0.943510981916529,10871151.856016103,8089369.606747965,0.9274910857452353,-1275778.5808796827,-13.295768119677914,-1528068.1789701907,-23.289101953173443,-0.016019896171293735,False,False
3,14269552.19129788,9713478.683333335,0.9389936721373195,16197818.28246426,11846701.873977974,0.9213919105771552,-1928266.0911663808,-13.5131506953828,-2133223.1906446386,-21.96147497914299,-0.017601761560164353,False,False
4,16046071.222299227,11796270.591666665,0.9545650808866962,19024179.85671239,14464451.049321836,0.9361348091277721,-2978108.6344131622,-18.559737104210807,-2668180.457655171,-22.61884751558747,-0.01843027175892409,False,False
5,19462954.572878383,14810071.000000002,0.8965796246463638,23232186.30908756,18454054.03403999,0.8526436907876286,-3769231.7362091765,-19.36618472850776,-3643983.0340399873,-24.60476410977359,-0.04393593385873518,False,False
