horizon,block_only_rmse,block_only_mae,block_only_r_squared,rainfall_ols_rmse,rainfall_ols_mae,rainfall_ols_r_squared,rmse_improvement_tonnes,rmse_improvement_percent,mae_improvement_tonnes,mae_improvement_percent,r_squared_improvement,weather_improves_rmse,weather_improves_mae
1,5913106.188244097,4066991.9118055534,0.9228214556018566,6882774.818678592,5241977.043097709,0.895433553556091,-969668.6304344954,-16.39863380708946,-1174985.131292156,-28.890766364236946,-0.027387902045765578,False,False
2,9595373.275136419,6561301.427777775,0.943510981916529,11903875.248587891,9493542.6278566,0.913060525428564,-2308501.973451473,-24.05849055849943,-2932241.2000788245,-44.68993281828138,-0.030450456487965072,False,False
3,14269552.191297881,9713478.683333337,0.9389936721373195,17756407.278524652,13365902.764464222,0.9055364219299326,-3486855.087226771,-24.435630778611177,-3652424.0811308846,-37.60160700612663,-0.03345725020738699,False,False
4,16046071.222299227,11796270.591666663,0.9545650808866962,21354171.307968523,17285504.777708054,0.919533006879742,-5308100.085669296,-33.08037221156434,-5489234.1860413905,-46.533640809487665,-0.035032074006954184,False,False
5,19462954.572878383,14810071.000000002,0.8965796246463638,27841723.95133029,22350480.334081825,0.7883682525194537,-8378769.378451906,-43.049832681250344,-7540409.334081823,-50.91406607086368,-0.10821137212691001,False,False
