model,horizon,season_count,observation_count,blocks_per_season,weather_predictor_count,loso_rmse,loso_mae,loso_r_squared,selected_alpha_min,selected_alpha_median,selected_alpha_max,mean_weather_effective_degrees_of_freedom,maximum_alpha_boundary_fraction
joint_month_level_ridge,1,16,192,12,16,6312283.481621089,4391534.610915686,0.9120495195428926,0.0001,100000000.0,100000000.0,1.202433522197572,0.8125
joint_month_level_ridge,2,16,96,6,16,10563691.595497351,7401957.655388151,0.931534512535762,0.0001,100000000.0,100000000.0,1.202433522197209,0.8125
joint_month_level_ridge,3,16,64,4,16,15733435.77767444,10968856.37638447,0.925834600685251,0.0001,100000000.0,100000000.0,1.2024335221973135,0.8125
joint_month_level_ridge,4,16,48,3,16,18318241.427973676,13499585.444555238,0.9407866154684359,0.0001,100000000.0,100000000.0,1.2024335221976985,0.8125
joint_month_level_ridge,5,16,32,2,16,22876933.625437696,17166325.550240766,0.8571158038237587,0.0001,100000000.0,100000000.0,1.1734128011361362,0.8125
