model,horizon,held_out_season,term,term_type,coefficient
block_only_ols,1,17-18,block_fe_3,block_fixed_effect,22794434.466666598
block_only_ols,1,17-18,block_fe_4,block_fixed_effect,28849993.266666614
block_only_ols,1,17-18,block_fe_5,block_fixed_effect,27446564.39999995
block_only_ols,1,17-18,block_fe_6,block_fixed_effect,19146966.86666664
block_only_ols,1,17-18,block_fe_7,block_fixed_effect,11869707.666666599
block_only_ols,1,17-18,block_fe_8,block_fixed_effect,-1854164.9333333801
block_only_ols,1,17-18,block_fe_9,block_fixed_effect,-18272519.00000005
block_only_ols,1,17-18,block_fe_10,block_fixed_effect,-24799649.33333339
block_only_ols,1,17-18,block_fe_11,block_fixed_effect,-25060103.20000007
block_only_ols,1,17-18,block_fe_12,block_fixed_effect,-22094232.533333372
block_only_ols,1,18-19,intercept,intercept,24533282.13333337
block_only_ols,1,18-19,block_fe_2,block_fixed_effect,23304725.26666662
block_only_ols,1,18-19,block_fe_3,block_fixed_effect,23581614.999999974
block_only_ols,1,18-19,block_fe_4,block_fixed_effect,29934297.333333295
block_only_ols,1,18-19,block_fe_5,block_fixed_effect,28541326.33333329
block_only_ols,1,18-19,block_fe_6,block_fixed_effect,20790008.133333325
block_only_ols,1,18-19,block_fe_7,block_fixed_effect,13246652.733333277
block_only_ols,1,18-19,block_fe_8,block_fixed_effect,-928963.0666667074
block_only_ols,1,18-19,block_fe_9,block_fixed_effect,-17408615.80000004
block_only_ols,1,18-19,block_fe_10,block_fixed_effect,-24040689.200000044
block_only_ols,1,18-19,block_fe_11,block_fixed_effect,-24283087.733333394
block_only_ols,1,18-19,block_fe_12,block_fixed_effect,-21096846.866666704
block_only_ols,1,19-20,intercept,intercept,25320610.933333367
block_only_ols,1,19-20,block_fe_2,block_fixed_effect,22245269.666666616
block_only_ols,1,19-20,block_fe_3,block_fixed_effect,22833449.266666636
block_only_ols,1,19-20,block_fe_4,block_fixed_effect,29256607.799999982
block_only_ols,1,19-20,block_fe_5,block_fixed_effect,27182143.133333303
block_only_ols,1,19-20,block_fe_6,block_fixed_effect,19685004.46666666
block_only_ols,1,19-20,block_fe_7,block_fixed_effect,11465428.399999946
block_only_ols,1,19-20,block_fe_8,block_fixed_effect,-1496934.6666667182
block_only_ols,1,19-20,block_fe_9,block_fixed_effect,-17823007.200000033
block_only_ols,1,19-20,block_fe_10,block_fixed_effect,-24817812.800000045
block_only_ols,1,19-20,block_fe_11,block_fixed_effect,-25066101.266666725
block_only_ols,1,19-20,block_fe_12,block_fixed_effect,-21936593.333333373
block_only_ols,1,20-21,intercept,intercept,24467942.53333337
block_only_ols,1,20-21,block_fe_2,block_fixed_effect,22947669.799999956
block_only_ols,1,20-21,block_fe_3,block_fixed_effect,23836082.333333306
block_only_ols,1,20-21,block_fe_4,block_fixed_effect,29764467.06666664
block_only_ols,1,20-21,block_fe_5,block_fixed_effect,28067931.933333308
block_only_ols,1,20-21,block_fe_6,block_fixed_effect,20127461.933333322
block_only_ols,1,20-21,block_fe_7,block_fixed_effect,12648733.266666625
block_only_ols,1,20-21,block_fe_8,block_fixed_effect,-519168.4666667115
block_only_ols,1,20-21,block_fe_9,block_fixed_effect,-16927399.533333372
block_only_ols,1,20-21,block_fe_10,block_fixed_effect,-23964495.93333339
block_only_ols,1,20-21,block_fe_11,block_fixed_effect,-24214539.200000055
block_only_ols,1,20-21,block_fe_12,block_fixed_effect,-20886868.933333367
block_only_ols,1,21-22,intercept,intercept,25431097.600000046
block_only_ols,1,21-22,block_fe_2,block_fixed_effect,22093865.266666614
block_only_ols,1,21-22,block_fe_3,block_fixed_effect,22969311.133333277
block_only_ols,1,21-22,block_fe_4,block_fixed_effect,29051163.7333333
block_only_ols,1,21-22,block_fe_5,block_fixed_effect,27186526.86666662
block_only_ols,1,21-22,block_fe_6,block_fixed_effect,19598075.199999966
block_only_ols,1,21-22,block_fe_7,block_fixed_effect,12921595.466666602
block_only_ols,1,21-22,block_fe_8,block_fixed_effect,-935539.5333333872
block_only_ols,1,21-22,block_fe_9,block_fixed_effect,-17862132.13333339
block_only_ols,1,21-22,block_fe_10,block_fixed_effect,-24926966.666666735
block_only_ols,1,21-22,block_fe_11,block_fixed_effect,-25176587.933333404
block_only_ols,1,21-22,block_fe_12,block_fixed_effect,-21742683.866666727
block_only_ols,1,22-23,intercept,intercept,26020465.46666671
block_only_ols,1,22-23,block_fe_2,block_fixed_effect,21887338.133333273
block_only_ols,1,22-23,block_fe_3,block_fixed_effect,22471456.333333284
block_only_ols,1,22-23,block_fe_4,block_fixed_effect,28355692.59999994
block_only_ols,1,22-23,block_fe_5,block_fixed_effect,26820726.799999975
block_only_ols,1,22-23,block_fe_6,block_fixed_effect,19453154.733333305
block_only_ols,1,22-23,block_fe_7,block_fixed_effect,11172972.133333273
block_only_ols,1,22-23,block_fe_8,block_fixed_effect,-2701266.533333378
block_only_ols,1,22-23,block_fe_9,block_fixed_effect,-18640438.733333375
block_only_ols,1,22-23,block_fe_10,block_fixed_effect,-25516334.5333334
block_only_ols,1,22-23,block_fe_11,block_fixed_effect,-25767121.1333334
block_only_ols,1,22-23,block_fe_12,block_fixed_effect,-22486657.266666703
block_only_ols,1,23-24,intercept,intercept,25699121.466666702
block_only_ols,1,23-24,block_fe_2,block_fixed_effect,21585050.266666625
block_only_ols,1,23-24,block_fe_3,block_fixed_effect,22804258.866666626
block_only_ols,1,23-24,block_fe_4,block_fixed_effect,28416247.06666664
block_only_ols,1,23-24,block_fe_5,block_fixed_effect,26613339.53333331
block_only_ols,1,23-24,block_fe_6,block_fixed_effect,18759592.19999998
block_only_ols,1,23-24,block_fe_7,block_fixed_effect,11381258.066666618
block_only_ols,1,23-24,block_fe_8,block_fixed_effect,-3280838.933333371
block_only_ols,1,23-24,block_fe_9,block_fixed_effect,-19248110.200000033
block_only_ols,1,23-24,block_fe_10,block_fixed_effect,-25258234.13333338
block_only_ols,1,23-24,block_fe_11,block_fixed_effect,-25468864.66666671
block_only_ols,1,23-24,block_fe_12,block_fixed_effect,-22270974.866666697
block_only_ols,1,24-25,intercept,intercept,24862338.200000033
block_only_ols,1,24-25,block_fe_2,block_fixed_effect,22535265.799999963
block_only_ols,1,24-25,block_fe_3,block_fixed_effect,22986804.26666663
block_only_ols,1,24-25,block_fe_4,block_fixed_effect,29545421.9333333
block_only_ols,1,24-25,block_fe_5,block_fixed_effect,27837675.199999977
block_only_ols,1,24-25,block_fe_6,block_fixed_effect,19873672.733333327
block_only_ols,1,24-25,block_fe_7,block_fixed_effect,12443069.99999995
block_only_ols,1,24-25,block_fe_8,block_fixed_effect,-1238980.4666666966
block_only_ols,1,24-25,block_fe_9,block_fixed_effect,-17570306.80000004
block_only_ols,1,24-25,block_fe_10,block_fixed_effect,-24358207.26666673
block_only_ols,1,24-25,block_fe_11,block_fixed_effect,-24607828.533333387
block_only_ols,1,24-25,block_fe_12,block_fixed_effect,-21362255.800000045
block_only_ols,1,25-26,intercept,intercept,25780475.066666707
block_only_ols,1,25-26,block_fe_2,block_fixed_effect,21657225.066666607
block_only_ols,1,25-26,block_fe_3,block_fixed_effect,22846337.533333283
block_only_ols,1,25-26,block_fe_4,block_fixed_effect,28492052.13333329
block_only_ols,1,25-26,block_fe_5,block_fixed_effect,26502335.999999955
block_only_ols,1,25-26,block_fe_6,block_fixed_effect,18817758.59999999
block_only_ols,1,25-26,block_fe_7,block_fixed_effect,11414669.533333275
block_only_ols,1,25-26,block_fe_8,block_fixed_effect,-2196058.400000046
block_only_ols,1,25-26,block_fe_9,block_fixed_effect,-18480139.26666671
block_only_ols,1,25-26,block_fe_10,block_fixed_effect,-25287185.133333396
block_only_ols,1,25-26,block_fe_11,block_fixed_effect,-25529128.66666672
block_only_ols,1,25-26,block_fe_12,block_fixed_effect,-22336753.533333372
block_only_ols,2,10-11,intercept,intercept,72112990.73333332
block_only_ols,2,10-11,block_fe_2,block_fixed_effect,30609654.266666688
block_only_ols,2,10-11,block_fe_3,block_fixed_effect,25708531.800000004
block_only_ols,2,10-11,block_fe_4,block_fixed_effect,-11801850.466666654
block_only_ols,2,10-11,block_fe_5,block_fixed_effect,-64420566.26666667
block_only_ols,2,10-11,block_fe_6,block_fixed_effect,-68236912.66666669
block_only_ols,2,11-12,intercept,intercept,73730509.46666665
block_only_ols,2,11-12,block_fe_2,block_fixed_effect,29206116.266666703
block_only_ols,2,11-12,block_fe_3,block_fixed_effect,23877397.933333352
block_only_ols,2,11-12,block_fe_4,block_fixed_effect,-11961320.999999968
block_only_ols,2,11-12,block_fe_5,block_fixed_effect,-65691530.066666655
block_only_ols,2,11-12,block_fe_6,block_fixed_effect,-69793112.73333333
block_only_ols,2,12-13,intercept,intercept,75201240.93333332
block_only_ols,2,12-13,block_fe_2,block_fixed_effect,28702383.933333363
block_only_ols,2,12-13,block_fe_3,block_fixed_effect,21989765.93333336
block_only_ols,2,12-13,block_fe_4,block_fixed_effect,-16232644.533333309
block_only_ols,2,12-13,block_fe_5,block_fixed_effect,-68120743.8
block_only_ols,2,12-13,block_fe_6,block_fixed_effect,-71333702.20000002
block_only_ols,2,13-14,intercept,intercept,73023645.46666665
block_only_ols,2,13-14,block_fe_2,block_fixed_effect,30555795.000000034
block_only_ols,2,13-14,block_fe_3,block_fixed_effect,23970909.000000022
block_only_ols,2,13-14,block_fe_4,block_fixed_effect,-13720676.733333305
block_only_ols,2,13-14,block_fe_5,block_fixed_effect,-66004972.93333333
block_only_ols,2,13-14,block_fe_6,block_fixed_effect,-69273590.93333335
block_only_ols,2,14-15,intercept,intercept,73124370.93333331
block_only_ols,2,14-15,block_fe_2,block_fixed_effect,29811687.466666706
block_only_ols,2,14-15,block_fe_3,block_fixed_effect,24574273.666666716
block_only_ols,2,14-15,block_fe_4,block_fixed_effect,-12629759.599999985
block_only_ols,2,14-15,block_fe_5,block_fixed_effect,-65417220.800000004
block_only_ols,2,14-15,block_fe_6,block_fixed_effect,-69288655.8
block_only_ols,2,15-16,intercept,intercept,73702084.93333334
block_only_ols,2,15-16,block_fe_2,block_fixed_effect,29459562.733333353
block_only_ols,2,15-16,block_fe_3,block_fixed_effect,23816430.800000004
block_only_ols,2,15-16,block_fe_4,block_fixed_effect,-13926690.666666672
block_only_ols,2,15-16,block_fe_5,block_fixed_effect,-67168014.26666668
block_only_ols,2,15-16,block_fe_6,block_fixed_effect,-70686287.93333337
block_only_ols,2,16-17,intercept,intercept,72077630.93333331
block_only_ols,2,16-17,block_fe_2,block_fixed_effect,31017543.866666712
block_only_ols,2,16-17,block_fe_3,block_fixed_effect,25309582.4666667
block_only_ols,2,16-17,block_fe_4,block_fixed_effect,-11839803.59999997
block_only_ols,2,16-17,block_fe_5,block_fixed_effect,-64494870.53333333
block_only_ols,2,16-17,block_fe_6,block_fixed_effect,-68595194.73333333
block_only_ols,2,17-18,intercept,intercept,73405114.53333333
block_only_ols,2,17-18,block_fe_2,block_fixed_effect,28843463.333333354
block_only_ols,2,17-18,block_fe_3,block_fixed_effect,23792566.86666669
block_only_ols,2,17-18,block_fe_4,block_fixed_effect,-12785421.666666651
block_only_ols,2,17-18,block_fe_5,block_fixed_effect,-65873132.733333334
block_only_ols,2,17-18,block_fe_6,block_fixed_effect,-69955300.13333336
block_only_ols,2,18-19,intercept,intercept,72371289.53333333
block_only_ols,2,18-19,block_fe_2,block_fixed_effect,30211187.066666674
block_only_ols,2,18-19,block_fe_3,block_fixed_effect,26026609.199999996
block_only_ols,2,18-19,block_fe_4,block_fixed_effect,-10987035.599999987
block_only_ols,2,18-19,block_fe_5,block_fixed_effect,-64754030.26666668
block_only_ols,2,18-19,block_fe_6,block_fixed_effect,-68684659.86666669
block_only_ols,2,19-20,intercept,intercept,72886491.53333333
block_only_ols,2,19-20,block_fe_2,block_fixed_effect,29844787.40000004
block_only_ols,2,19-20,block_fe_3,block_fixed_effect,24621877.933333352
block_only_ols,2,19-20,block_fe_4,block_fixed_effect,-12276775.933333319
block_only_ols,2,19-20,block_fe_5,block_fixed_effect,-64886089.66666667
block_only_ols,2,19-20,block_fe_6,block_fixed_effect,-69247964.26666668
block_only_ols,2,20-21,intercept,intercept,71883554.86666667
block_only_ols,2,20-21,block_fe_2,block_fixed_effect,30652879.60000003
block_only_ols,2,20-21,block_fe_3,block_fixed_effect,25247724.066666678
block_only_ols,2,20-21,block_fe_4,block_fixed_effect,-10818104.999999994
block_only_ols,2,20-21,block_fe_5,block_fixed_effect,-63839565.26666668
block_only_ols,2,20-21,block_fe_6,block_fixed_effect,-68049077.93333338
block_only_ols,2,21-22,intercept,intercept,72956060.46666665
block_only_ols,2,21-22,block_fe_2,block_fixed_effect,29926609.60000003
block_only_ols,2,21-22,block_fe_3,block_fixed_effect,24690736.800000012
block_only_ols,2,21-22,block_fe_4,block_fixed_effect,-10107809.333333313
block_only_ols,2,21-22,block_fe_5,block_fixed_effect,-64882964.06666666
block_only_ols,2,21-22,block_fe_6,block_fixed_effect,-69013137.06666668
block_only_ols,2,22-23,intercept,intercept,73928269.06666665
block_only_ols,2,22-23,block_fe_2,block_fixed_effect,28939810.80000005
block_only_ols,2,22-23,block_fe_3,block_fixed_effect,24386543.400000036
block_only_ols,2,22-23,block_fe_4,block_fixed_effect,-13415632.533333309
block_only_ols,2,22-23,block_fe_5,block_fixed_effect,-66044111.39999999
block_only_ols,2,22-23,block_fe_6,block_fixed_effect,-70141116.53333336
block_only_ols,2,23-24,intercept,intercept,72983293.19999999
block_only_ols,2,23-24,block_fe_2,block_fixed_effect,29635455.666666705
block_only_ols,2,23-24,block_fe_3,block_fixed_effect,23787881.4666667
block_only_ols,2,23-24,block_fe_4,block_fixed_effect,-13484631.133333305
block_only_ols,2,23-24,block_fe_5,block_fixed_effect,-66091394.599999994
block_only_ols,2,23-24,block_fe_6,block_fixed_effect,-69324889.8
block_only_ols,2,24-25,intercept,intercept,72259942.2
block_only_ols,2,24-25,block_fe_2,block_fixed_effect,29996960.40000002
block_only_ols,2,24-25,block_fe_3,block_fixed_effect,25176082.133333348
block_only_ols,2,24-25,block_fe_4,block_fixed_effect,-11331176.266666654
block_only_ols,2,24-25,block_fe_5,block_fixed_effect,-64463779.86666668
block_only_ols,2,24-25,block_fe_6,block_fixed_effect,-68505350.13333336
block_only_ols,2,25-26,intercept,intercept,73218175.2
block_only_ols,2,25-26,block_fe_2,block_fixed_effect,29681164.60000001
block_only_ols,2,25-26,block_fe_3,block_fixed_effect,23662869.533333324
block_only_ols,2,25-26,block_fe_4,block_fixed_effect,-12438613.933333319
block_only_ols,2,25-26,block_fe_5,block_fixed_effect,-65424549.466666676
block_only_ols,2,25-26,block_fe_6,block_fixed_effect,-69523107.2666667
block_only_ols,3,10-11,intercept,intercept,120260943.13333327
block_only_ols,3,10-11,block_fe_2,block_fixed_effect,32135272.00000008
block_only_ols,3,10-11,block_fe_3,block_fixed_effect,-52741870.86666657
block_only_ols,3,10-11,block_fe_4,block_fixed_effect,-115900372.59999993
block_only_ols,3,11-12,intercept,intercept,122141692.6666666
block_only_ols,3,11-12,block_fe_2,block_fixed_effect,29991657.266666733
block_only_ols,3,11-12,block_fe_3,block_fixed_effect,-52837655.7333332
block_only_ols,3,11-12,block_fe_4,block_fixed_effect,-117700164.99999991
block_only_ols,3,12-13,intercept,intercept,124658211.26666659
block_only_ols,3,12-13,block_fe_2,block_fixed_effect,26979450.133333404
block_only_ols,3,12-13,block_fe_3,block_fixed_effect,-59074454.599999875
block_only_ols,3,12-13,block_fe_4,block_fixed_effect,-120325335.66666658
block_only_ols,3,13-14,intercept,intercept,122046959.59999993
block_only_ols,3,13-14,block_fe_2,block_fixed_effect,29503721.20000005
block_only_ols,3,13-14,block_fe_3,block_fixed_effect,-56194440.266666576
block_only_ols,3,13-14,block_fe_4,block_fixed_effect,-117827783.13333327
block_only_ols,3,14-15,intercept,intercept,121181534.13333327
block_only_ols,3,14-15,block_fe_2,block_fixed_effect,31396005.666666787
block_only_ols,3,14-15,block_fe_3,block_fixed_effect,-53445672.06666654
block_only_ols,3,14-15,block_fe_4,block_fixed_effect,-116879919.5999999
block_only_ols,3,15-16,intercept,intercept,121914274.79999995
block_only_ols,3,15-16,block_fe_2,block_fixed_effect,30553698.733333383
block_only_ols,3,15-16,block_fe_3,block_fixed_effect,-55872318.66666658
block_only_ols,3,15-16,block_fe_4,block_fixed_effect,-118630968.99999997
block_only_ols,3,16-17,intercept,intercept,120970400.13333327
block_only_ols,3,16-17,block_fe_2,block_fixed_effect,30619218.866666727
block_only_ols,3,16-17,block_fe_3,block_fixed_effect,-53607452.53333321
block_only_ols,3,16-17,block_fe_4,block_fixed_effect,-117030323.79999992
block_only_ols,3,17-18,intercept,intercept,121501624.06666662
block_only_ols,3,17-18,block_fe_2,block_fixed_effect,29848125.666666713
block_only_ols,3,17-18,block_fe_3,block_fixed_effect,-53852375.133333236
block_only_ols,3,17-18,block_fe_4,block_fixed_effect,-117549383.93333328
