horizon,model,model_label,loso_rmse,loso_mae,loso_r_squared,rmse_improvement_vs_block_percent
1,block_only_ols,Block-Only OLS,5913106.188244097,4066991.911805554,0.9228214556018566,0.0
2,block_only_ols,Block-Only OLS,9595373.27513642,6561301.427777775,0.943510981916529,0.0
3,block_only_ols,Block-Only OLS,14269552.19129788,9713478.683333335,0.9389936721373195,0.0
4,block_only_ols,Block-Only OLS,16046071.222299227,11796270.591666665,0.9545650808866962,0.0
5,block_only_ols,Block-Only OLS,19462954.572878383,14810071.000000002,0.8965796246463638,0.0
