season,period_end_date,region,sugar_tonnes
24-25,2024-12-16,other_states,164039
24-25,2024-12-16,sao_paulo,192309
24-25,2025-01-01,other_states,46953
24-25,2025-01-01,sao_paulo,18891
24-25,2025-01-16,other_states,10782
24-25,2025-01-16,sao_paulo,0
24-25,2025-02-01,other_states,7323
24-25,2025-02-01,sao_paulo,0
24-25,2025-02-16,other_states,7226
24-25,2025-02-16,sao_paulo,0
24-25,2025-03-01,other_states,9022
24-25,2025-03-01,sao_paulo,0
24-25,2025-03-16,other_states,33050
24-25,2025-03-16,sao_paulo,19751
24-25,2025-04-01,other_states,118397
24-25,2025-04-01,sao_paulo,93030
25-26,2025-04-16,other_states,331065
25-26,2025-04-16,sao_paulo,403936
25-26,2025-05-01,other_states,301265
25-26,2025-05-01,sao_paulo,558025
25-26,2025-05-16,other_states,862643
25-26,2025-05-16,sao_paulo,1559225
25-26,2025-06-01,other_states,1024594
25-26,2025-06-01,sao_paulo,1934855
25-26,2025-06-16,other_states,942094
25-26,2025-06-16,sao_paulo,1510477
25-26,2025-07-01,other_states,982117
25-26,2025-07-01,sao_paulo,1863714
25-26,2025-07-16,other_states,1208875
25-26,2025-07-16,sao_paulo,2216678
25-26,2025-08-01,other_states,1298497
25-26,2025-08-01,sao_paulo,2333004
25-26,2025-08-16,other_states,1243834
25-26,2025-08-16,sao_paulo,2380679
25-26,2025-09-01,other_states,1350870
25-26,2025-09-01,sao_paulo,2535486
25-26,2025-09-16,other_states,1259141
25-26,2025-09-16,sao_paulo,2372087
25-26,2025-10-01,other_states,1083368
25-26,2025-10-01,sao_paulo,2071981
25-26,2025-10-16,other_states,883020
25-26,2025-10-16,sao_paulo,1610928
25-26,2025-11-01,other_states,728377
25-26,2025-11-01,sao_paulo,1345293
25-26,2025-11-16,other_states,293194
25-26,2025-11-16,sao_paulo,696352
25-26,2025-12-01,other_states,205926
25-26,2025-12-01,sao_paulo,519356
25-26,2025-12-16,other_states,86261
25-26,2025-12-16,sao_paulo,175910
25-26,2026-01-01,other_states,22509
25-26,2026-01-01,sao_paulo,33543
25-26,2026-01-16,other_states,6979
25-26,2026-01-16,sao_paulo,340
25-26,2026-02-01,other_states,4584
25-26,2026-02-01,sao_paulo,0
25-26,2026-02-16,other_states,2285
25-26,2026-02-16,sao_paulo,0
25-26,2026-03-01,other_states,544
25-26,2026-03-01,sao_paulo,0
25-26,2026-03-16,other_states,1621
25-26,2026-03-16,sao_paulo,4392
25-26,2026-04-01,other_states,81632
25-26,2026-04-01,sao_paulo,96896
